Date,Close_TSM,High_TSM,Low_TSM,Open_TSM,Volume_TSM,SharesOutstanding
2001-10-11,3.799071788787842,3.8160319817216295,3.544669847146076,3.5616300400798635,9768476,5186523104
2001-10-12,3.6973111629486084,3.782111652709812,3.595550003816127,3.6973111629486084,4486719,5186523104
2001-10-15,3.5785908699035645,3.7176643047445292,3.5650229970459444,3.700704106535501,3792955,5186523104
2001-10-16,3.938145399093628,3.9483214207977837,3.7346237745540676,3.809248727355507,7058780,5186523104
2001-10-17,4.002593994140625,4.131490900815428,3.900833065315685,4.087394490388244,9237371,5186523104
2001-10-18,3.8296008110046387,3.9856337009876026,3.7990722693888044,3.9856337009876026,7250584,5186523104
2001-10-19,3.8431684970855713,3.883872820469499,3.751583828994554,3.795680238849963,3810325,5186523104
2001-10-22,4.114530563354492,4.114530563354492,3.8363847167598957,3.8770885630746394,4048204,5186523104
2001-10-23,4.168802738189697,4.202723123906905,4.043298168164569,4.1043542910365165,7596657,5186523104
2001-10-24,4.375716209411621,4.402852418462497,4.240034687974794,4.256994878154398,6551375,5186523104
2001-10-25,4.494438171386719,4.511398365743316,4.11792252332583,4.240035732220311,8835656,5186523104
2001-10-26,4.714920997619629,4.7725848107912885,4.589415919676605,4.596199617589364,12764038,5186523104
2001-10-29,4.514789581298828,4.694567521042593,4.511397733375973,4.65047111713299,6238865,5186523104
2001-10-30,4.260387420654297,4.409636832870292,4.253603724421883,4.392676639924211,5443090,5186523104
2001-10-31,4.379110336303711,4.511399602851779,4.307877690945727,4.307877690945727,6050888,5186523104
2001-11-01,4.501221656799316,4.552101755914556,4.290915659848023,4.409636526026904,8697728,5186523104
2001-11-02,4.562280178070068,4.592808250427865,4.450342960392764,4.504615406483974,4187310,5186523104
2001-11-05,4.840424060821533,4.884520464151362,4.684390963319246,4.697959307197266,7393959,5186523104
2001-11-06,4.816679954528809,4.837032471433473,4.664039172930174,4.813288106469289,8308673,5186523104
2001-11-07,4.918441295623779,5.098218773195058,4.765800508280084,4.765800508280084,9245172,5186523104
2001-11-08,5.020200729370117,5.24746688207479,5.0032405402917135,5.020200729370117,11271556,5186523104
2001-11-09,4.915049076080322,5.003241892653313,4.8438164531700245,4.935401594185081,6693278,5186523104
2001-11-12,4.901481628417969,4.969322408903479,4.76919286836336,4.91504949880552,4669102,5186523104
2001-11-13,5.203372955322266,5.206764804274813,5.0202031120492405,5.0202031120492405,10705858,5186523104
2001-11-14,5.1558837890625,5.447598462087034,5.142315443255518,5.410285749209112,10725731,5186523104
2001-11-15,5.294956684112549,5.461166300287631,5.223724059492164,5.325485223911317,8883644,5186523104
2001-11-16,5.512045860290527,5.51883003189686,5.383148504500075,5.4272449056675365,5748682,5186523104
2001-11-19,5.484909534454346,5.644334468657281,5.4442049818566565,5.596846220778691,5144712,5186523104
2001-11-20,5.162667751312256,5.35940591853688,5.159275902777338,5.301741160165202,8715687,5186523104
2001-11-21,5.376365661621094,5.400109551734691,5.227116243527226,5.240684112708918,10276323,5186523104
2001-11-23,5.325483322143555,5.403500091768054,5.159273765323081,5.227114517376103,1934824,5186523104
2001-11-26,5.630767822265625,5.664688213620078,5.552751493569503,5.6138076265883985,9572403,5186523104
2001-11-27,5.5493597984313965,5.6782572049682765,5.467951611835174,5.495087832761466,6829587,5186523104
2001-11-28,5.196588039398193,5.444206310699485,5.186412017810583,5.4272461159926095,8177369,5186523104
2001-11-29,5.4611663818359375,5.501870943447926,5.189804225031221,5.216940440711692,20882231,5186523104
2001-11-30,5.403500556945801,5.45777297278748,5.277995059606687,5.410284251789191,7774329,5186523104
2001-12-03,5.529005527496338,5.576493775967446,5.427244859006116,5.5629259090539,6985326,5186523104
2001-12-04,5.946226119995117,5.959794465251899,5.69860786661043,5.766448640529261,11133775,5186523104
2001-12-05,6.471987724304199,6.611061066883514,6.343090874845323,6.444851520408522,15103520,5186523104
2001-12-06,6.390580177307129,6.512693353273276,6.390580177307129,6.478772973706853,7503772,5186523104
2001-12-07,6.353269100189209,6.560182786340043,6.339700755433816,6.427893567796307,8670054,5186523104
2001-12-10,6.0954766273498535,6.298998033149982,6.0344200151367655,6.1565332395629415,6880371,5186523104
2001-12-11,6.244724750518799,6.390581362094266,6.142963592953437,6.142963592953437,5127784,5186523104
2001-12-12,6.427892208099365,6.468596757572759,6.248115249487674,6.343091737954891,6048385,5186523104
2001-12-13,6.071731090545654,6.190452443334406,6.037810704034582,6.098867304518005,5523316,5186523104
2001-12-14,6.248117446899414,6.265077165946967,6.109044036485296,6.1293965564710176,4268712,5186523104
2001-12-17,6.244724750518799,6.27525233589637,6.105651358985814,6.105651358985814,7767853,5186523104
2001-12-18,6.200628757476807,6.295604796600684,6.088691571929695,6.24472516679142,4225729,5186523104
2001-12-19,5.9360504150390625,6.0886916882969135,5.919090220656794,6.054771299532377,9435063,5186523104
2001-12-20,5.769838809967041,5.953008560543519,5.691822037896556,5.953008560543519,11824594,5186523104
2001-12-21,5.495085716247559,5.74270345825783,5.406892913160213,5.647726483506272,13805345,5186523104
2001-12-24,5.42724609375,5.484910850753562,5.3797578344749155,5.4611664830247335,3144089,5186523104
2001-12-26,5.542574882507324,5.630767707762438,5.461166706804255,5.478126902136591,5606338,5186523104
2001-12-27,5.685039043426514,5.7257435995923895,5.579886519347792,5.647726811380919,4027448,5186523104
2001-12-28,5.7494893074035645,5.912306617753707,5.67825667460255,5.698608719350665,6086658,5186523104
2001-12-31,5.824113845825195,5.9496189166355276,5.783409755931365,5.783409755931365,3947518,5186523104
