Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2020-07-07,90.46745300292969,91.90691027355584,90.35579383560182,91.12771107529522,112424400,14840390000,39.018208,30.942238,6.59
2020-07-08,92.5744400024414,92.60599762201831,91.3583012018077,91.44569210278156,117092000,14840390000,39.018208,30.942238,6.59
2020-07-09,92.9725341796875,93.52112558076603,91.92388788228862,93.46772209132743,125642800,14840390000,39.018208,30.942238,6.59
2020-07-10,93.13516998291016,93.19343305098592,91.95544841683225,92.56715507244024,90257200,14840390000,39.018208,30.942238,6.59
2020-07-13,92.70551300048828,97.0530191182004,92.49189905133328,94.44111522553601,191649200,14840390000,39.018208,30.942238,6.59
2020-07-14,94.23963928222656,94.43139994531549,91.15196369614016,92.08651357687286,170989200,14840390000,39.018208,30.942238,6.59
2020-07-15,94.88777160644531,96.3660683335281,93.68862647798679,96.11604456670572,153198000,14840390000,39.018208,30.942238,6.59
2020-07-16,93.72016143798828,94.5770395198075,93.12058901872845,93.75900100696389,110577600,14840390000,39.018208,30.942238,6.59
2020-07-17,93.53084564208984,94.32703847766767,93.05749615234998,94.17168757232892,92186800,14840390000,39.018208,30.942238,6.59
2020-07-20,95.50191497802734,95.64027959696287,93.27354678967762,93.61824344262168,90318000,14840390000,39.018208,30.942238,6.59
2020-07-21,94.18379974365234,96.36847551090202,93.93377603549384,96.29322616043909,103433200,14840390000,39.018208,30.942238,6.59
2020-07-22,94.44841766357422,95.1305216126493,93.79787133763452,93.88525484056996,89001600,14840390000,39.018208,30.942238,6.59
2020-07-23,90.14944458007812,94.25906118948085,89.33868791358677,94.18138204100602,197004400,14840390000,39.018208,30.942238,6.59
2020-07-24,89.92613983154297,90.2708365032768,86.5568819123497,88.3458954929818,185438800,14840390000,39.018208,30.942238,6.59
2020-07-27,92.0573959350586,92.14963900239098,90.76601521608015,90.98933351898751,121214000,14840390000,39.018208,30.942238,6.59
2020-07-28,90.54511260986328,91.80494302513247,90.54025303327292,91.62773886108056,103625600,14840390000,39.018208,30.942238,6.59
2020-07-29,92.28070831298828,92.46519442099822,90.9917501608235,91.02815994322266,90329200,14840390000,39.018208,30.942238,6.59
2020-07-30,93.3973388671875,93.50171606500183,91.0451701940575,91.45297464683811,158130000,14840390000,39.018208,30.942238,6.59
2020-07-31,103.17496490478516,103.32546361824967,97.89775374108596,99.89795098088912,374336800,14840390000,39.018208,30.942238,6.59
2020-08-03,105.77474212646484,108.39635067212231,104.76008315372526,105.05865083451154,308151200,14840390000,39.018208,30.942238,6.59
2020-08-04,106.48111724853516,107.57345533183008,105.24070281740102,105.96407603717955,173071600,14840390000,39.018208,30.942238,6.59
2020-08-05,106.8670654296875,107.18748634754088,105.73588787997431,106.20195534302388,121776800,14840390000,39.018208,30.942238,6.59
2020-08-06,110.59557342529297,111.09076870650271,106.60975774089576,107.19961845957583,202428800,14840390000,39.018208,30.942238,6.59
2020-08-07,108.08111572265625,110.57370522818017,107.28348737773852,110.11652664854778,198045600,14840390000,39.018208,30.942238,6.59
2020-08-10,109.65203857421875,110.67096098800363,106.99895008053579,109.52801468909898,212403600,14840390000,39.018208,30.942238,6.59
2020-08-11,106.3909912109375,109.41370947727135,106.13078746276243,108.91519465838161,187902400,14840390000,39.018208,30.942238,6.59
2020-08-12,109.9268569946289,110.18462665624196,107.28835808571321,107.48289870612909,165598000,14840390000,39.018208,30.942238,6.59
2020-08-13,111.87226867675781,112.87660092461535,110.81929757369635,111.30809060988061,210082000,14840390000,39.018208,30.942238,6.59
2020-08-14,111.77257537841797,111.86255059040622,109.96088544926977,111.6971903401982,165565200,14840390000,39.018208,30.942238,6.59
2020-08-17,111.48075103759766,112.92037661537533,110.85335133570575,112.89605718665909,119561600,14840390000,39.018208,30.942238,6.59
2020-08-18,112.40970611572266,112.83527017348905,110.89712956784018,111.2327184122214,105633600,14840390000,39.018208,30.942238,6.59
2020-08-19,112.55074310302734,113.96604930230188,112.45590697529136,112.81824198590108,145538000,14840390000,39.018208,30.942238,6.59
